conditionId,is_structurally_dead,done_clob_48h
0xf716b372d13a5924ef42607061477120387784d28cbd1107f10a36617fed2002,False,True
0xff5edea413a8de0d338a031fc015f146f78e445b00bd6c97379e1620f5a57e34,False,True
0x4a7e616863d6ed7f1fdf29f8b04d9f8a55b3af25d875a6ecb2f0f85d9d46833d,False,True
0x6c912ec8880403238b89c0b129912b757ad3cc62a9181f17bd49d3e126b7919f,False,True
0x641cd3c6f1bb50aba3bef7bf9f4eced18be901c214e2ea53ca2c9ca2aa8c1b5d,False,True
0x95f4e7ca50b5cc6234ccf061a5cf4ecc356554f134c40a273d7f9a51bfdf8a74,False,True
0x62457ec9e738138f70134403283a7283d51128c34a837f50a8559234fd6cfa4c,False,True
0x29817c6fc72781fd95c9a4cb4642c6d2e5340e23f62546b0791aef867814210f,False,True
0x84ff8dc94a760e6e1de0e78d6d2f003c2d016a25eae9dbce15c15d37bb4eff2a,False,True
0xcace0b3d86740ce149bcc3849fa0b197516752bb929240fd387ff4620688b3e6,False,True
0x4c1c908e2c4270ae0ac33bd3c15836b1a324e74edf303fdd2f0a36a6ca9c15ff,False,True
0xd5f932f559c1fecca3106308fbcd3c8abc1bfd36c4fc25d6365a1842f4ba3a3a,False,True
0x29ce959ff8f1ff05cd24e50be4f6b66c04642afaecc88daac5096d5bb877a31e,False,True
0xd3fb986b2b7d606b9b9f03665c8f1afc8d991e94afe14baf16dbd2808c352bf7,False,True
0x2bbb01dde5b463b898b74077c919e6975cee0f42c6793c4b82edea24f84d5697,False,True
0x125807ec62bdfde8925c195c3430ebf9774b31df99032af6632d55836317ec0a,False,True
0x6fb05a5fdf462bc69fcbcc4e96970d02c5671f710a906878bf704c4d42238fdb,False,True
0xb26716c21cb0e39df4bb277faafd96bdda2275e6d09f369d4c6ccbafbdcd1915,False,True
0x2d44beea7e5f6c16e6810687de65ee265282c6a0dab9011fe80840e47c2d9afb,False,True
0xe7c4e65687185d06f4e52de387ce2ce691ebfd51d4ed9edf79df832843f79d6a,False,True
0x7c39412687368e400c321bd93642b9180784a66fea3178471ca1e7940313fd98,False,True
0xaf650de3bdcba5237bddae9581ef5e63704fa61959d91b9eebbbf35eb30d18b9,False,True
0x12c5359aac3128b2df8bf11d81aa3afb75e60cbab035f3e8ec80ae109ee9c810,False,True
0x242ac3a7792c6d53d6a4dcdddda51c7e72882ba4349d347ed0da8e4e5b6cea19,False,True
0x8d2a80e0b4b0d2eb1c29a765e25c40604d1da94a662f4c930f18b9f19a73ee61,False,True
0x57b87a06bd1d0342b5cde12034d72e1605c609d57f0c7b63e11c467a28f9cf3d,False,True
0x2797fccc231de0253e8053dc79b7cb583d4f7eb1153bc58daa3790e598f79b7a,False,True
0x3991e8381e4e68c925fe21cc3f2bd569ea048336a45774252028084ddb4a840f,False,True
0x685e50df26a1f4fe875274d5f7c258ec13d85d64ee76f66c17fbba4c971e12e4,False,True
0xec5477bb25fc5aeb076b9372235fce1d2d6d913a603497fddaca9a746cf2700f,False,True
0xf92a22d8405720b077fd5e957d5b7b9448d1d47bc043210058552a1bcd130740,False,True
0x13b5425c64608941268024268b0542fca2a7f5130e6a4a3ea2f4a07bce7b9d9f,False,True
0xa5b5285151d97ed70ee6fad0e9772128d0cc0d5bc25e600ce3c641a1637aa357,False,True
0x7f5f4eab133b4774d841825b0ff79deedea0f58a8d1a54da930ac71d5fd415cf,False,True
0xcc119e0a78bd322cb70819cbed58543d336fd63dd1b0ee209327b1e41d0038af,False,True
0x9e6e8c76dfa4ac035d5346a6165f88ac66f44b46d2dbfcf4f96f31f96ff4c9e0,False,True
0xe62cafa1e4f1665cfb12151ed617802f053828229dd91cf17755941e554ba91e,False,True
0x96298ceee8ed23fcac099a1c1774c2564bb616f7964cb3e64cf8dd69bb0ffaf5,False,True
0xf1ff30d3f604b0010950944d141ef0add20f7b808718b272399c3e6dfec5036c,False,True
0x2240feb11f9db5420d4de86306c12882341492f0708a7b83b7ed56a8e6528a3d,False,True
0x06c8d797fed2536c48db0fa0d8746786780a7170584ba9c99e9dcefe5f0a5073,False,True
0x8725f6d1d8db8580898ea2c141b34abaaf75ae60a0cc21f23aeb095df79dcaac,False,True
0x2c47a9a854830a66e12ef0b8309c98e8fca44eb443cff2ab4c4472c231679ab7,False,True
0x18b1f84ea9a2a4085430aa0db595f88615042abf3fda0e56bbbf740e49ec788b,False,True
0xf697dacb560b9d98963ab13638ff0d4c20bf0d1af309fbe4cb0e5931f5ae7908,False,True
0x78eb725a3e47c23567207392fe1248457080361f86c49123e86f9ea87271ecf0,False,True
0xb2100c12dcc88c91f38dd4dfad1049e994172ecbb3b1b00597c5c114b299e179,False,True
0xfa13ad21220a4ba1f1dcd3f3dfd3be41f2cb07209fa64c03405f6b1d685338ef,False,True
0xc4b778f4b2aeb816ee2c0c9daca116354fa50ae6b94ca372b850948c97358737,False,True
0x70952782193d07f17fedb91cd4a84165da877605e8be22522411a89f8dc0ac8e,False,True
0x0dd44f96dacd1207472fecfb28c5b77d0455ef6d34cb367876993e61ad3c53be,False,True
0x4573d7ab77b04f39d36649f00f8849eb3ad25c051fce78c827444897d6e3280e,False,True
0x9f8707152301a79696d177f3d52f8e3fcf12bf6fe803692a07ca3ab2a08b64e0,False,True
0x1fa33bacc9f6cb9c60abe5cb641578dc940ab366f3c37cf4a283069584c53ef7,False,True
0x04ae994d2017bc8b1f83f99862cafb80c52ba8d6b0be53bbd1ee5d1bf10223f4,False,True
0x4df14c042cc75ab5b3b6a07f17c223b9b6316a805272fa4a6d79bc173628a4fe,False,True
0x8460dcb3b23dc55c2c810cf8aca54f9bac5906dfcc1a91994e7f77f679b56b7c,False,True
0xeff6264ce32d56f09bf962ff1c38bf7873f1781b81e59fdb42265e8906db3878,False,True
0xd8e0d11beb6553c922bb46204191a9d7ba8c0fd17bd6b203b6d5c5557f31c063,False,True
0xa5cfa93793d5e02f76af4fd4505ede4b07178b458df50e90fa14bc4754da2dd1,False,True
0x986959e613051734bc3eb5e568ac532eee17420bb52f2c15d55d0efdb60d6880,False,True
0xd9ec7604125dc49861f1a61a4f3ae31bfb18813c23ceb91eeeac0ba842660e31,False,True
0xa00c096ba062386c9f025757c5d58d957eab4d3397408fb8d765659636390bb1,False,True
0x8219082ff4e915efedcd3e9c53ed32db1bdde643999430fff2d9131bc96adaef,False,True
0xc4e49e8350c1af5e31856d4cbda475c94f99c21fc5327a42a2382a861dc3851c,False,True
0x05a4df1c8cc623bafc473e7ab90bfd791c46b40b733acc47fe312b9f1e4abc5b,False,True
0xc6b211a08ec858b25fd251ca428c23be4364bfa6ca96cbfe3619ec3998b05178,False,True
0x0040d53c15888638cbca0aa48be7dee84a17a3aeee73a8c0f4afc35ab18384f7,False,True
0xe6af79572e25fe9b418badd1de1f1032ae677600915460d68dd0776b1a36c108,False,True
0x6ff5a0f3f9f6a55572b56f1a53aa5099786b29c4c002b080b67db917e447d04e,False,True
0x49893bafc912c211070e6dedba898f78028d6ae0b0fc7014ce30781b5e618ab3,False,True
0xde128667fe941511abbbf9483d7f370383ae6db6a8a33f2d8aa35bbd798a02dc,False,True
0x79793e84b7bb511328b3c4f8835ade61855fd73cb2c007b48a3fd54059ac7cfe,False,True
0x4c62208653f17da7fe5e5944c7439b4948465dc397e9dcb4a610897ce0c93c18,False,True
0xba89324f6df4ce84cdc8773d56c2152ac33898085804f65c86cb76c50654ad84,False,True
0x6bcfad376b0836cdeea187c8578328e17511dd0295f1b6afa0b2fed368a29839,False,True
0xb9ba5452e141e2ca056cc1e909d704273eba37dcde4eb70ae86f20a902eb3bef,False,True
0xfb88b22e70fabdf91c1020f752ea4da8d278d22ff6bc54058453626bdd513c6d,False,True
0x8137d425a84134010f70af5c51198b3c0b0155c34125095d12e2a9b9da13e395,False,True
0x746c31e708d8f63c822212f4875e735fad8fe8160ff70803b261c50fc4928821,False,True
0x8048a1e850632d40ca7a8e204dde558c215707774dc383b4b5eafd9687834f1d,False,True
0xfceb557d5e23c23f9ce6fdc4f5602ee9135ed9466d1b9c7a1acd43c4a6db726b,False,True
0xf60d214e8b8842b9c6a9835271dc17a5e565e721c3408984b80f7016cbe2faa1,False,True
0xaf4ae17e643d4456dbdccfa77d79607bb4ae8a59fd5a9637b3a1c7cfce340506,False,True
0xd4635d47ff12077daa50b01da83ea180880f29bc79fcf6aab3740cc231036e58,False,True
0x794a67351f3af442ac66ccb8ec8150de08294e12fb5bb25ddc36d7fd343984f0,False,True
0xf9c2c7b0d1f5b9aa0da122d2c0fb3317912f87b97f9f0887dc665278bc7fc7af,False,True
0xade296350b128a1b253f708f8e8b9d1fa816f729fbe80681ac5a0463e0a96e55,False,True
0x731ac1bcbaf0e491816a4c9c953c4b6b37de93f92b191db774d416753c055146,False,True
0x77e2615272dd63f6ffde0e3e605f85a0f6f4db12852a7bffae4a58b2c363af61,False,True
0xc79b46d80092bd126d785b68323b0b94215b156793e4aa3e7ed2ffa488515a13,False,True
0xd8d14bdc459a08d9d3dd76fb53f1c530cfed6614bace6daf8e47ecb2219709bc,False,True
0xf4690f72280806e3d608f898536bda128c8e814214e11843f851d9a1ad7aedec,False,True
0xc907757fb8bb72003ac98dd96d9d48efbe50e5cb38cb6aba1de33347ab21dec9,False,True
0x29b6429e5f762c658541e55e7f9e38fd6c99cabc2ee4733cb70a4632ff153ee4,False,True
0x41fbfc6f946144efc9cb285edeeff52b5e8e2d3dfa0caf5d7682c448a9c04058,False,True
